datetime,temp,precip
2019-01-02,2.7,0
2019-01-03,1.2,0
2019-01-04,2.1,0
2019-01-05,4.1,0
2019-01-06,6.6,0.007
2019-01-07,8.1,1.038
2019-01-08,4.6,0
2019-01-09,1.6,0.032
2019-01-10,4,0.126
2019-01-11,5.4,0.007
2019-01-12,7.8,1.076
2019-01-13,7.9,0.303
2019-01-14,5.4,0.192
2019-01-15,7.2,0.169
2019-01-16,5.2,1.382
2019-01-17,0.7,0.383
2019-01-18,0.1,0.184
2019-01-19,1.1,1.982
2019-01-20,2.2,0.147
2019-01-21,2.4,0.469
2019-01-22,0.8,4.547
2019-01-23,-1.5,0.028
2019-01-24,1.7,0.157
2019-01-25,7.4,0.437
2019-01-26,6.9,1.306
2019-01-27,2.9,6.174
2019-01-28,0.4,0.07
2019-01-29,0.9,1.197
2019-01-30,-1.1,0.375
2019-01-31,-3.9,0.019
2019-02-01,-0.9,0.108
2019-02-02,-0.9,0.646
2019-02-03,0.6,1.784
2019-02-04,5,2.196
2019-02-05,3.9,0.913
2019-02-06,5.3,2.494
2019-02-07,4.2,3.342
2019-02-08,7.1,1.347
2019-02-09,5.3,9.251
2019-02-10,3.3,0.114
2019-02-11,3.6,0.543
2019-02-12,6,0.018
2019-02-13,7.8,0
2019-02-14,7.2,0.007
2019-02-15,8,0.018
2019-02-16,9.6,0
2019-02-17,8.9,0
2019-02-18,7.2,0.273
2019-02-19,6.4,0.65
2019-02-20,8,0.792
2019-02-21,10.3,0.193
2019-02-22,10.1,0.037
2019-02-23,9.3,0.007
2019-02-24,7.9,0.037
2019-02-25,9,0.149
2019-02-26,10.4,0.025
2019-02-27,8.5,0.007
2019-02-28,6,0.061
2019-03-01,6.2,0.432
2019-03-02,8.4,0.156
2019-03-03,6.5,7.514
2019-03-04,4.2,2.962
2019-03-05,5.3,1.521
2019-03-06,8.3,13.641
2019-03-07,5,6.44
2019-03-08,3.9,2.248
2019-03-09,5,5.755
2019-03-10,2.4,5.491
2019-03-11,4.2,1.819
2019-03-12,5.1,10.972
2019-03-13,6.1,7.556
2019-03-14,7.2,10.711
2019-03-15,7.2,3.583
2019-03-16,6.8,28.835
2019-03-17,3.8,0.962
2019-03-18,5.2,0.154
2019-03-19,8,0.127
