address1,address2,easting,northing,order_cost,ordered_date,result,speedLimit,urban_rural,length,PRIORITY,TARGET_DAYS_TO_REPAIR,MergedName,ydependent,UrbanRural,Date,temp,precip
ABBEY COURT,HORSFORTH,0,0,71.11,17/01/2023 00:00,PASS,30,Urban,146,CAT3 carriageway,28,ABBEY COURTHORSFORTH,1,1,17-Jan-2023,-1.7,0
ABBEY ROAD,KIRKSTALL,0,0,71.11,09/02/2024 00:00,PASS,20,Urban,213,CAT2 carriageway,7,ABBEY ROADKIRKSTALL,1,1,09-Feb-2024,3.2,21.387
ABBEY STREET,BURLEY,0,0,71.11,01/03/2023 00:00,FAIL,20,Urban,89,CAT2 carriageway,7,ABBEY STREETBURLEY,0,1,01-Mar-2023,4.3,3.342
ABBEY WALK,KIRKSTALL,0,0,71.11,26/06/2023 00:00,PASS,30,Urban,195,CAT2 footway,7,ABBEY WALKKIRKSTALL,1,1,26-Jun-2023,15.1,0.34
ABBEYDALE GARDENS,KIRKSTALL,425271.25,436754.99,71.11,07/08/2023 00:00,FAIL,20,Urban,135,CAT2 carriageway,7,ABBEYDALE GARDENSKIRKSTALL,0,1,07-Aug-2023,13.3,0.012
ABBEYDALE MOUNT,KIRKSTALL,0,0,71.11,14/04/2023 00:00,FAIL,20,Urban,95,CAT1 carriageway,1,ABBEYDALE MOUNTKIRKSTALL,0,1,14-Apr-2023,4.5,12.82
ABBEYDALE WAY,KIRKSTALL,0,0,64.06,24/05/2022 00:00,PASS,20,Urban,48,CAT1 carriageway,1,ABBEYDALE WAYKIRKSTALL,1,1,24-May-2022,10.8,0.532
ABBOTSWAY,GARFORTH,0,0,64.06,23/04/2021 00:00,FAIL,30,Urban,125,CAT3 carriageway,28,ABBOTSWAYGARFORTH,0,1,23-Apr-2021,9.6,0
ABBOTT COURT,ARMLEY,0,0,64.06,19/07/2021 00:00,FAIL,20,Urban,67,CAT3 footway,28,ABBOTT COURTARMLEY,0,1,19-Jul-2021,19.8,0
ABBOTT ROAD,ARMLEY,427787.9,433476.55,71.11,02/01/2024 00:00,PASS,20,Urban,130,CAT2 carriageway,7,ABBOTT ROADARMLEY,1,1,02-Jan-2024,7.2,14.979
